  Frequency             DB(V(VOUT))           P(V(VOUT))           
  1.603245390690e-02  2.744975958610e+01  8.089504473409e+01  
  1.606941253013e-02  2.746926216971e+01  8.087440362444e+01  
  1.610645635178e-02  2.748876251470e+01  8.085371729585e+01  
  1.614358556826e-02  2.750826061127e+01  8.083298565991e+01  
  1.618080037643e-02  2.752775644955e+01  8.081220862812e+01  
  1.621810097359e-02  2.754725001966e+01  8.079138611188e+01  
  1.625548755750e-02  2.756674131165e+01  8.077051802248e+01  
  1.629296032640e-02  2.758623031554e+01  8.074960427112e+01  
  1.633051947894e-02  2.760571702131e+01  8.072864476891e+01  
  1.636816521428e-02  2.762520141891e+01  8.070763942683e+01  
  1.640589773200e-02  2.764468349822e+01  8.068658815581e+01  
  1.644371723215e-02  2.766416324910e+01  8.066549086664e+01  
  1.648162391525e-02  2.768364066137e+01  8.064434747003e+01  
  1.651961798229e-02  2.770311572479e+01  8.062315787661e+01  
  1.655769963470e-02  2.772258842910e+01  8.060192199688e+01  
  1.659586907438e-02  2.774205876398e+01  8.058063974127e+01  
  1.663412650370e-02  2.776152671907e+01  8.055931102012e+01  
  1.667247212551e-02  2.778099228398e+01  8.053793574365e+01  
  1.671090614311e-02  2.780045544826e+01  8.051651382200e+01  
  1.674942876026e-02  2.781991620143e+01  8.049504516523e+01  
  1.678804018123e-02  2.783937453296e+01  8.047352968328e+01  
  1.682674061070e-02  2.785883043228e+01  8.045196728602e+01  
  1.686553025389e-02  2.787828388878e+01  8.043035788322e+01  
  1.690440931643e-02  2.789773489179e+01  8.040870138455e+01  
  1.694337800447e-02  2.791718343062e+01  8.038699769961e+01  
  1.698243652462e-02  2.793662949452e+01  8.036524673789e+01  
  1.702158508395e-02  2.795607307271e+01  8.034344840879e+01  
  1.706082389003e-02  2.797551415434e+01  8.032160262164e+01  
  1.710015315090e-02  2.799495272853e+01  8.029970928567e+01  
  1.713957307508e-02  2.801438878438e+01  8.027776831001e+01  
  1.717908387158e-02  2.803382231090e+01  8.025577960373e+01  
  1.721868574986e-02  2.805325329709e+01  8.023374307578e+01  
  1.725837891990e-02  2.807268173190e+01  8.021165863505e+01  
  1.729816359215e-02  2.809210760420e+01  8.018952619033e+01  
  1.733803997754e-02  2.811153090287e+01  8.016734565034e+01  
  1.737800828749e-02  2.813095161671e+01  8.014511692368e+01  
  1.741806873392e-02  2.815036973448e+01  8.012283991891e+01  
  1.745822152920e-02  2.816978524489e+01  8.010051454448e+01  
  1.749846688625e-02  2.818919813662e+01  8.007814070876e+01  
  1.753880501842e-02  2.820860839829e+01  8.005571832004e+01  
  1.757923613959e-02  2.822801601847e+01  8.003324728653e+01  
  1.761976046412e-02  2.824742098571e+01  8.001072751636e+01  
  1.766037820686e-02  2.826682328847e+01  7.998815891758e+01  
  1.770108958317e-02  2.828622291521e+01  7.996554139814e+01  
  1.774189480890e-02  2.830561985431e+01  7.994287486594e+01  
  1.778279410039e-02  2.832501409411e+01  7.992015922879e+01  
  1.782378767448e-02  2.834440562292e+01  7.989739439442e+01  
  1.786487574852e-02  2.836379442898e+01  7.987458027048e+01  
  1.790605854035e-02  2.838318050050e+01  7.985171676454e+01  
  1.794733626833e-02  2.840256382563e+01  7.982880378410e+01  
  1.798870915129e-02  2.842194439247e+01  7.980584123659e+01  
  1.803017740860e-02  2.844132218909e+01  7.978282902936e+01  
  1.807174126011e-02  2.846069720349e+01  7.975976706969e+01  
  1.811340092620e-02  2.848006942364e+01  7.973665526477e+01  
  1.815515662773e-02  2.849943883745e+01  7.971349352173e+01  
  1.819700858610e-02  2.851880543279e+01  7.969028174763e+01  
  1.823895702320e-02  2.853816919748e+01  7.966701984946e+01  
  1.828100216143e-02  2.855753011927e+01  7.964370773412e+01  
  1.832314422371e-02  2.857688818589e+01  7.962034530847e+01  
  1.836538343348e-02  2.859624338501e+01  7.959693247928e+01  
  1.840772001469e-02  2.861559570424e+01  7.957346915326e+01  
  1.845015419179e-02  2.863494513117e+01  7.954995523704e+01  
  1.849268618978e-02  2.865429165329e+01  7.952639063720e+01  
  1.853531623415e-02  2.867363525810e+01  7.950277526024e+01  
  1.857804455092e-02  2.869297593300e+01  7.947910901261e+01  
  1.862087136663e-02  2.871231366537e+01  7.945539180067e+01  
  1.866379690835e-02  2.873164844253e+01  7.943162353074e+01  
  1.870682140366e-02  2.875098025174e+01  7.940780410906e+01  
  1.874994508067e-02  2.877030908023e+01  7.938393344183e+01  
  1.879316816803e-02  2.878963491515e+01  7.936001143516e+01  
  1.883649089490e-02  2.880895774363e+01  7.933603799512e+01  
  1.887991349096e-02  2.882827755273e+01  7.931201302771e+01  
  1.892343618645e-02  2.884759432946e+01  7.928793643887e+01  
  1.896705921211e-02  2.886690806079e+01  7.926380813448e+01  
  1.901078279923e-02  2.888621873362e+01  7.923962802039e+01  
  1.905460717963e-02  2.890552633482e+01  7.921539600234e+01  
  1.909853258566e-02  2.892483085118e+01  7.919111198606e+01  
